Model,RMSE_dB,Bias_dB
ITM,7.74113997974222,4.12927404637786
Hata,14.5121413274576,10.6734923390455
Bullington,6.4759171930933,1.41074270217073
Deygout,6.47553136074316,1.40898823798253
